,agency_code,school,zip_code,year,2019_med_hh_inc,int_pubsr,int_privsr,int_commcoll,int_privjr,int_trdbusnrs,int_other,int_totalsecondary,AP_pass_pct,AP_part_pct,CTE_cred_pct,CTE_enroll_pct,enroll_All,enroll_AmericanIndian,enroll_Asian,enroll_Black,enroll_Disadvantaged,enroll_EnglishLearners,enroll_Female,enroll_Hispanic,enroll_Male,enroll_Twoormore,enroll_PacificIslander,enroll_Disabilities,enroll_White,secondary_counselors
71,600397,Garinger High School,28205,2013,50200.0,64.0,23.0,183.0,,14.0,59.0,343.0,,,,,0.4375,,0.0539772727,0.2642045455,0.3579545455,,0.2556818182,0.0880681818,0.1818181818,,,,,
72,600405,Harding University High School,28208,2013,42570.0,114.0,17.0,110.0,,11.0,43.0,295.0,,,,,0.5068027211,,,0.4081632653,0.380952381,,0.3333333333,,0.1734693878,,,,,
73,600415,Hopewell High School,28078,2013,82225.0,173.0,26.0,149.0,2.5,7.0,37.0,395.0,,,,,0.6005154639,,,0.2628865979,0.2010309278,,0.3067010309,0.0618556701,0.293814433,,,,0.2293814433,
74,600426,Independence High School,28227,2013,43990.0,143.0,29.0,207.0,2.5,30.0,45.0,456.0,,,,,0.5615550756,,,0.2138228942,0.2807775378,,0.3196544277,0.0691144708,0.241900648,,,,0.2289416847,
75,600445,Mallard Creek High School,28269,2013,60423.0,307.0,12.0,170.0,2.5,2.5,42.0,534.0,,,,,0.6022514071,,,0.3377110694,0.225140713,,0.3283302064,,0.2739212008,,,,0.1688555347,
76,600457,Rocky River High School,28227,2013,43990.0,114.0,25.0,100.0,5.0,8.0,82.0,334.0,,,,,0.6426426426,,,0.4114114114,0.3753753754,,0.3633633634,0.0960960961,0.2792792793,,,,0.0960960961,
77,600461,,,2013,,,,,,,2.5,2.5,,,,,,,,,,,,,,,,,,
78,600466,Myers Park High School,28209,2013,99628.0,297.0,86.0,88.0,2.5,2.5,120.0,594.0,,,,,0.7042016807,,,0.1226890756,0.1596638656,,0.3663865546,,0.3378151261,,,,0.4773109244,
79,600480,North Mecklenburg High School,28078,2013,82225.0,125.0,38.0,109.0,2.5,19.0,45.0,339.0,,,,,0.6119402985,,,0.3402985075,0.223880597,,0.3462686567,0.0507462687,0.2656716418,,,,0.1880597015,
80,600482,,,2013,,60.0,16.0,30.0,,2.5,7.0,114.0,,,,,0.798245614,,,0.350877193,0.2719298246,,0.5877192983,0.052631579,0.2105263158,,,0.052631579,0.3596491228,
81,600496,Phillip O Berry Academy of Technology,28208,2013,42570.0,188.0,25.0,47.0,2.5,2.5,17.0,282.0,,,,,0.6898954704,,,0.5191637631,0.4808362369,,0.3554006969,0.0662020906,0.3344947735,,,,,
82,600498,Performance Learning Center,28262,2013,,6.0,2.5,78.0,5.0,,8.0,101.0,,,,,0.4791666667,,,0.1770833333,0.1875,,0.2604166667,,0.21875,,,,0.2083333333,
83,600508,Providence High School,28270,2013,82270.0,236.0,58.0,117.0,2.5,2.5,27.0,445.0,,,,,0.8488888889,,0.06,0.0777777778,0.0977777778,,0.4666666667,,0.3822222222,,,,0.6733333333,
